id,name,status,company_type,address,email,postcode,website,activities,source
1016630,FOUNDATION FOR CREDIT COUNSELLING,Active,Charity,"123 Albion Street, Leeds",contactus@stepchange.org,LS2 8ER,http://www.stepchange.org,"Foundation for Credit Counselling's principal activities are to provide free debt advice to the financially distressed and following advice either via telephone or online, to provide a range of debt management solutions to meet client needs such as debt management plans and a range of insolvency solutions.",CharityBase
1053866,Family Fund Trust,Active,Charity,"The Family Fund, Unit 4, Alpha Court, Monks Cross Drive, Huntington, YORK",info@familyfund.org.uk,YO32 9WN,http://www.familyfund.org.uk,"THE FAMILY FUND HELPS FAMILIES WITH SEVERELY DISABLED OR SERIOUSLY ILL CHILDREN TO HAVE CHOICES AND THE OPPORTUNITY TO ENJOY ORDINARY LIFE.  WE SUPPORT FAMILIES WITH SIGNPOSTING AND INFORMATION AND GIVE GRANTS FOR THINGS THAT MAKE LIFE EASIER AND MORE ENJOYABLE FOR THE DISABLED CHILD AND THEIR FAMILY, SUCH AS WASHING MACHINES,  HOSPITAL VISITING COSTS, COMPUTERS AND FAMILY BREAKS.",CharityBase
261887,THE KATHERINE MARTIN CHARITABLE TRUST,Active,Charity,"3 Elm Close, Molescroft, BEVERLEY",mike2110@me.com,HU17 7DZ,,"Provision of grants to nominated charities as directed by the will of Katherine Martin. The Structure, Governance and Management of the Trust and its trading subsidiary, Singleton Birch Ltd, is set out in the Trust's Consolidated Accounts filing, which also disclose the Trust's separate financial position. The Trust's activities are funded from investment income and dividends from its subsidiary.",CharityBase
502224,ST ANNE'S COMMUNITY SERVICES,Active,Charity,"St. Annes Community Services, 6 St. Marks Avenue, LEEDS",info@st-annes.org.uk,LS2 9BN,http://www.st-annes.org.uk,"We provide support services throughout the North of England for people who are homeless, who have a learning disability, mental health problems or substance use problems. A wide range of services include Supported Living, Supported Housing, Registered Care and Nursing Homes,respite care, direct access and resettlement hostels and a range of community based support.",CharityBase
1156258,REAL LIFE OPTIONS,Active,Charity,"Real Life Options, David Wandless House, A1 Business Park, Knottingley Road, KNOTTINGLEY",info@reallifeoptions.org,WF11 0BU,http://www.reallifeoptions.org,"Real Life Options provides support and care to people in the United Kingdom who have disabilities.  In particular, the organisation provides and manages services on a peripatetic and domiciliary basis, and provides care and support through the provision of residential housing, both directly and in conjunction with other voluntary agencies, charities and housing associations.",CharityBase
1120102,LEEDS TRINITY UNIVERSITY,Active,Charity,"Leeds Trinity University, Brownberrie Lane, Horsforth, LEEDS",hello@leedstrinity.ac.uk,LS18 5HD,http://www.leedstrinity.ac.uk,"The establishment, conduct and development of a Roman Catholic institution for the advancement of education for the benefit of the public.",CharityBase
1079836,SKILLS FOR CARE LTD,Active,Charity,"SKILLS FOR CARE, WEST GATE, 6 GRACE STREET, LEEDS",info@skillsforcare.org.uk,LS1 2RP,http://www.skillsforcare.org.uk,Our aim is to develop the adult social care workforce to provide quality social care services. We do this by: developing national occupational standards and qualification frameworks; collecting and analysing workforce information and other research; implementing our national workforce development strategy for all areas of the workforce; creating employer-led workforce development infrastructures.,CharityBase
1184957,JOSEPH ROWNTREE FOUNDATION,Active,Charity,"JOSEPH ROWNTREE FOUNDATION, THE HOMESTEAD, 40 WATER END, YORK",info@jrf.org.uk,YO30 6WP,https://www.jrf.org.uk/,"JRF is an independent social change organisation working to solve UK poverty. It aims to inspire action andchange that will create a prosperous UK without poverty and it principally does this by undertakingresearch, producing or inputting into policy on poverty, collaborating with others working to the samepurpose and otherwise providing practical solutions.",CharityBase
1128341,PENNY APPEAL,Active,Charity,"Penny Appeal Campus, Thornes Park, WAKEFIELD, West Yorkshire",info@pennyappeal.org,WF2 8QZ,http://www.pennyappeal.org,"Penny Appeal provides poverty relief across Asia, the Middle East and Africa, with dedicated programmes to help the poor and needy by building wells, caring for orphans, providing nutritious food, delivering emergency aid in response to crisis situations and providing healthcare. Penny Appeal also works in the UK to help homeless people and women who have experienced domestic abuse.",CharityBase
232402,THE CAMPHILL VILLAGE TRUST LIMITED,Active,Charity,"The Camphill Village Trust, Reg Office: The Kingfisher Offices, 9 Saville Street, MALTON",trustoffice@cvt.org.uk,YO17 7LL,http://camphillvillagetrust.org.uk,"For the public benefit, to provide support for adults with special needs by establishing and maintaining intentional communities of purpose where all may continue to develop as individuals through meaningful work of a productive nature, alongside a range of chosen therapeutic activities and further education, as well as a healthy cultural, social and spiritual life.",CharityBase
1048304,THE GRAMMAR SCHOOL AT LEEDS,Active,Charity,"LEEDS GRAMMAR SCHOOL, HARROGATE ROAD, LEEDS",company.secretary@gsal.org.uk,LS17 8GS,http://www.gsal.org.uk,Provision of education for boys and girls aged 3 to 18,CharityBase
700520,SHEFFIELD CITY TRUST,Active,Charity,"23, Carbrook Hall Road, SHEFFIELD",info@SIVLTD.COM,S9 2EH,http://www.sheffieldcitytrust.org.uk,"1) Promoting the benefit of the inhabitants of South Yorkshire and surrounding counties through the provision of facilities for recreation and leisure time occupation, ad hoc initiatives and the provision of financial support to appropriate projects.",CharityBase
1155876,LEEDS DIOCESAN BOARD OF FINANCE,Active,Charity,"17-19 York Place, Leeds",jonathan.wood@leeds.anglican.org,LS1 2EX,http://www.leeds.anglican.org,Promote the work and purposes of the Church of England in the Diocese of Leeds. The Diocese of Leeds covers the area of West Yorkshire and the Dales and Barnsley in South Yorkshire.,CharityBase
1180693,INSPIRE NORTH,Active,Charity,"3 LIMEWOOD WAY, LEEDS",ruth.kettle@inspirenorth.co.uk,LS14 1AB,,"Activities are restricted to exclusively charitable purposes for those in need due to age, housing or mental/physical health including prevention/relief of financial hardship or other need, relieve sickness and preserve health, support with unemployment, support and promote education including advice therapy and training & promoting charities efficiency and effectiveness including use of resource.",CharityBase
