company_name,company_number,company_status,company_type,company_subtype,kind,links,date_of_creation,registered_office_address,sic_codes
BRIGHTSIDE MUSIC CIC,10750655,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/10750655'},2017-05-03,"{'address_line_1': '120 Cundy Street', 'locality': 'Sheffield', 'postal_code': 'S6 2WN', 'country': 'England'}",['90010']
FIGHT WITHIN CIC,14814904,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14814904'},2023-04-19,"{'address_line_1': '16 Chatfield Road', 'locality': 'Sheffield', 'postal_code': 'S8 0HE', 'country': 'England'}",['86900']
MISSION:ACTIVE C.I.C.,12468638,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12468638'},2020-02-18,"{'address_line_1': '23 Hurlfield Avenue', 'locality': 'Sheffield', 'postal_code': 'S12 2TL', 'country': 'England'}","['85510', '85520', '93199', '96040']"
HUMAN FIRST ATHLETE TRANSITIONS C.I.C.,15755911,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15755911'},2024-06-02,"{'address_line_1': '127 Upper Valley Road', 'locality': 'Sheffield', 'postal_code': 'S8 9HD', 'country': 'England'}","['70229', '85510', '85600']"
THINKING SPACE FOR PHILOSOPHICAL DIALOGUE AND ENQUIRY C.I.C.,09561370,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09561370'},2015-04-25,"{'address_line_1': '101 Beechwood Road', 'locality': 'Sheffield', 'postal_code': 'S6 4LQ', 'country': 'United Kingdom'}",['85590']
BSFA CIC,15754307,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15754307'},2024-06-01,"{'address_line_1': 'Apartment 402 Hallam Towers 272a Fulwood Road', 'locality': 'Sheffield', 'postal_code': 'S10 3AZ', 'country': 'England'}",['93120']
PINK LEMONADE ROLLER DISCO C.I.C.,15544369,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15544369'},2024-03-06,"{'address_line_1': '15 Burnell Road', 'locality': 'Sheffield', 'postal_code': 'S6 2AW', 'country': 'England'}","['90040', '93120']"
"ACADEMY OF SUSTAINABLE FINANCE, ACCOUNTING, ACCOUNTABILITY & GOVERNANCE (ASFAAG) CIC",13382353,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13382353'},2021-05-07,"{'address_line_1': '19 Crabtree Drive', 'locality': 'Sheffield', 'postal_code': 'S5 7AZ', 'country': 'England'}","['72200', '73200', '74901', '82302']"
PASH COMMUNITY CIC,14129002,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14129002'},2022-05-24,"{'address_line_1': '10 Spotswood Close', 'locality': 'Sheffield', 'postal_code': 'S14 1LF', 'country': 'England'}",['84120']
TIGERS COMMUNITY PROJECTS CIC,15597877,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15597877'},2024-03-27,"{'address_line_1': 'Sheffield Tigers Rufc Door Moor', 'address_line_2': 'Hathersage Road', 'locality': 'Sheffield', 'postal_code': 'S17 3AB', 'region': 'South Yorkshire', 'country': 'United Kingdom'}",['85510']
