id,name,status,company_type,address,postcode,website,source
06899090,THE HOPE VALLEY RIDING CLUB LIMITED,active,private-limited-guarant-nsc,N/A,S8 8SA,https://find-and-update.company-information.service.gov.uk/company/06899090,Companies House
10750655,BRIGHTSIDE MUSIC CIC,active,private-limited-guarant-nsc,N/A,S6 2WN,https://find-and-update.company-information.service.gov.uk/company/10750655,Companies House
15257949,THE BLANKET FORT CLUB LTD,active,private-limited-guarant-nsc,N/A,S11 8XA,https://find-and-update.company-information.service.gov.uk/company/15257949,Companies House
07380240,PLUM PIE MEDIA LIMITED,active,private-limited-guarant-nsc,N/A,S35 4LY,https://find-and-update.company-information.service.gov.uk/company/07380240,Companies House
14927797,HN STORES LIMITED,active,private-limited-guarant-nsc,N/A,S9 1AW,https://find-and-update.company-information.service.gov.uk/company/14927797,Companies House
08637741,BREARLEY FORGE MANAGEMENT COMPANY LIMITED,active,private-limited-guarant-nsc,N/A,S1 2BX,https://find-and-update.company-information.service.gov.uk/company/08637741,Companies House
09042561,COMMUNITY ENERGY ASSOCIATION (ENGLAND) LIMITED,active,private-limited-guarant-nsc,N/A,S1 2BX,https://find-and-update.company-information.service.gov.uk/company/09042561,Companies House
07877203,SHEFFIELD STEEL ROLLER DERBY LIMITED,active,private-limited-guarant-nsc,N/A,S2 4DH,https://find-and-update.company-information.service.gov.uk/company/07877203,Companies House
14814904,FIGHT WITHIN CIC,active,private-limited-guarant-nsc,N/A,S8 0HE,https://find-and-update.company-information.service.gov.uk/company/14814904,Companies House
12468638,MISSION:ACTIVE C.I.C.,active,private-limited-guarant-nsc,N/A,S12 2TL,https://find-and-update.company-information.service.gov.uk/company/12468638,Companies House
02491094,HOLLOW MEADOWS MEWS LIMITED,active,private-limited-guarant-nsc,N/A,S6 6GJ,https://find-and-update.company-information.service.gov.uk/company/02491094,Companies House
10193163,HALLAMSHIRE APARTMENTS 1966 SOUTH RTM COMPANY LIMITED,active,private-limited-guarant-nsc,N/A,S10 4FL,https://find-and-update.company-information.service.gov.uk/company/10193163,Companies House
10193159,HALLAMSHIRE APARTMENTS 1966 EAST RTM COMPANY LIMITED,active,private-limited-guarant-nsc,N/A,S10 4FL,https://find-and-update.company-information.service.gov.uk/company/10193159,Companies House
12130229,ALLIANCE HOUSING SUPPORT LTD,active,private-limited-guarant-nsc,N/A,S3 7SP,https://find-and-update.company-information.service.gov.uk/company/12130229,Companies House
15755911,HUMAN FIRST ATHLETE TRANSITIONS C.I.C.,active,private-limited-guarant-nsc,N/A,S8 9HD,https://find-and-update.company-information.service.gov.uk/company/15755911,Companies House
06582489,BRITISH AMATEUR BOXING ASSOCIATION LIMITED,active,private-limited-guarant-nsc,N/A,S9 5DA,https://find-and-update.company-information.service.gov.uk/company/06582489,Companies House
09561370,THINKING SPACE FOR PHILOSOPHICAL DIALOGUE AND ENQUIRY C.I.C.,active,private-limited-guarant-nsc,N/A,S6 4LQ,https://find-and-update.company-information.service.gov.uk/company/09561370,Companies House
15754307,BSFA CIC,active,private-limited-guarant-nsc,N/A,S10 3AZ,https://find-and-update.company-information.service.gov.uk/company/15754307,Companies House
13496393,THE CAKE INITIATIVE LTD,active,private-limited-guarant-nsc,N/A,S35 0EZ,https://find-and-update.company-information.service.gov.uk/company/13496393,Companies House
11380321,NOMAD OPENING DOORS TRADING LTD,active,private-limited-guarant-nsc,N/A,S2 4SW,https://find-and-update.company-information.service.gov.uk/company/11380321,Companies House
13646338,SALE HILL CLOSE PROPERTY COMPANY LIMITED,active,private-limited-guarant-nsc,N/A,S8 0XF,https://find-and-update.company-information.service.gov.uk/company/13646338,Companies House
09626386,UTOPIA THEATRE LIMITED,active,private-limited-guarant-nsc,N/A,S1 1DA,https://find-and-update.company-information.service.gov.uk/company/09626386,Companies House
15001646,SHEAF SUPPORTED HOUSING LTD,active,private-limited-guarant-nsc,N/A,S5 7UA,https://find-and-update.company-information.service.gov.uk/company/15001646,Companies House
15500208,RAHMA REBUILD LTD,active,private-limited-guarant-nsc,N/A,S9 1WG,https://find-and-update.company-information.service.gov.uk/company/15500208,Companies House
15504388,AIRFLOW COOLING EOT LIMITED,active,private-limited-guarant-nsc,N/A,S3 9PP,https://find-and-update.company-information.service.gov.uk/company/15504388,Companies House
15526943,ELITES ACADEMY LTD,active,private-limited-guarant-nsc,N/A,S2 1WG,https://find-and-update.company-information.service.gov.uk/company/15526943,Companies House
15544369,PINK LEMONADE ROLLER DISCO C.I.C.,active,private-limited-guarant-nsc,N/A,S6 2AW,https://find-and-update.company-information.service.gov.uk/company/15544369,Companies House
05137984,ALL SAINTS SPORTS EDUCATIONAL AND RECREATIONAL COMPANY LIMITED,active,private-limited-guarant-nsc,N/A,S2 2RJ,https://find-and-update.company-information.service.gov.uk/company/05137984,Companies House
01593544,DIOCESE OF HALLAM TRUSTEE,active,private-limited-guarant-nsc,N/A,S9 3WU,https://find-and-update.company-information.service.gov.uk/company/01593544,Companies House
13382353,"ACADEMY OF SUSTAINABLE FINANCE, ACCOUNTING, ACCOUNTABILITY & GOVERNANCE (ASFAAG) CIC",active,private-limited-guarant-nsc,N/A,S5 7AZ,https://find-and-update.company-information.service.gov.uk/company/13382353,Companies House
14129002,PASH COMMUNITY CIC,active,private-limited-guarant-nsc,N/A,S14 1LF,https://find-and-update.company-information.service.gov.uk/company/14129002,Companies House
15480486,A&S GREASE MONKEYS LTD,active,private-limited-guarant-nsc,N/A,S5 0HE,https://find-and-update.company-information.service.gov.uk/company/15480486,Companies House
15669438,ROLL WITH ADVANTAGE LTD,active,private-limited-guarant-nsc,N/A,S10 1QQ,https://find-and-update.company-information.service.gov.uk/company/15669438,Companies House
14143038,ATTAWOON LTD,active,private-limited-guarant-nsc,N/A,S3 9LF,https://find-and-update.company-information.service.gov.uk/company/14143038,Companies House
09582697,FRIENDS' FIELD LTD,active,private-limited-guarant-nsc,N/A,S2 3ND,https://find-and-update.company-information.service.gov.uk/company/09582697,Companies House
13407268,HALLAM TOWERS MANAGEMENT COMPANY LIMITED,active,private-limited-guarant-nsc,N/A,S3 8DB,https://find-and-update.company-information.service.gov.uk/company/13407268,Companies House
11540315,NEW LIVING FAITH CHRISTIAN CENTRE LTD,active,private-limited-guarant-nsc,N/A,S8 8AT,https://find-and-update.company-information.service.gov.uk/company/11540315,Companies House
15597877,TIGERS COMMUNITY PROJECTS CIC,active,private-limited-guarant-nsc,N/A,S17 3AB,https://find-and-update.company-information.service.gov.uk/company/15597877,Companies House
15619097,WE CAN DRIVE CIC,active,private-limited-guarant-nsc,N/A,S1 4FW,https://find-and-update.company-information.service.gov.uk/company/15619097,Companies House
15734220,WRBCC CIC,active,private-limited-guarant-nsc,N/A,S8 0ZU,https://find-and-update.company-information.service.gov.uk/company/15734220,Companies House
06332350,DORE KIDS CLUB LIMITED,active,private-limited-guarant-nsc,N/A,S17 3QP,https://find-and-update.company-information.service.gov.uk/company/06332350,Companies House
04970810,CHURCH VIEW (PHASE 2 APARTMENTS) MANAGEMENT COMPANY LIMITED,active,private-limited-guarant-nsc,N/A,S8 7UJ,https://find-and-update.company-information.service.gov.uk/company/04970810,Companies House
02236179,WHIRLOW GRANGE LIMITED,active,private-limited-guarant-nsc,N/A,S11 9SY,https://find-and-update.company-information.service.gov.uk/company/02236179,Companies House
12121987,SHEFFIELD ALTERNATIVE PROVISION FOR EDUCATION LTD,active,private-limited-guarant-nsc,N/A,S9 4WG,https://find-and-update.company-information.service.gov.uk/company/12121987,Companies House
01746654,BROOMGROVE TRUST(THE),active,private-limited-guarant-nsc,N/A,S10 2LR,https://find-and-update.company-information.service.gov.uk/company/01746654,Companies House
07273599,LEARN TO RE-CREATE LIMITED,active,private-limited-guarant-nsc,N/A,S9 3QS,https://find-and-update.company-information.service.gov.uk/company/07273599,Companies House
00303523,WESTFIELD CONTRIBUTORY HEALTH SCHEME LIMITED,active,private-limited-guarant-nsc,N/A,S1 3FZ,https://find-and-update.company-information.service.gov.uk/company/00303523,Companies House
09976194,BLOOMSBURY INNOVATION GROUP COMMUNITY INTEREST COMPANY,active,private-limited-guarant-nsc,N/A,TN22 3RX,https://find-and-update.company-information.service.gov.uk/company/09976194,Companies House
12669288,TAPESTRY COMPLIANCE EOT LIMITED,active,private-limited-guarant-nsc,N/A,S1 2NU,https://find-and-update.company-information.service.gov.uk/company/12669288,Companies House
05154330,BROOM BUSINESS PARK MANAGEMENT COMPANY LIMITED,active,private-limited-guarant-nsc,N/A,S11 8FT,https://find-and-update.company-information.service.gov.uk/company/05154330,Companies House
